appId,user-size,user-mbr,locations-size,locations-mbr,locations-count,total-mbr
3138699249380467,316,243900,0,0,0,243900
8016988929356692,333,250700,0,0,0,250700
3131704515145613,311,241900,0,0,0,241900
4044270639254991,344,255100,0,0,0,255100
1971071344661553,312,242300,0,0,0,242300
6965679306911914,311,241900,151,156100,1,398000
6619482050277929,305,239500,0,0,0,239500
2429988180516085,311,241900,0,0,0,241900
607340906581289,334,251100,0,0,0,251100
1347388776202902,345,255500,304,313000,2,568500
4637809340462336,334,251100,147,154500,1,405600
2682334925790085,346,255900,143,152900,1,408800
5479166462562726,342,254300,0,0,0,254300
1424193495879626,336,251900,0,0,0,251900
471809444776832,297,236300,0,0,0,236300
3688349348694043,338,252700,0,0,0,252700
2358111821571207,312,242300,0,0,0,242300
6970791314308134,301,237900,0,0,0,237900
1858092224042866,312,242300,0,0,0,242300
6351387251888725,322,246300,166,162100,1,408400
2666392076552865,337,252300,0,0,0,252300
2112492285812735,320,245500,170,163700,1,409200
5411949696863949,307,240300,149,155300,1,395600
5027237407325178,315,243500,0,0,0,243500
8953489009372155,337,252300,0,0,0,252300
4394893592748996,341,253900,147,154500,1,408400
207744613959429,305,239500,0,0,0,239500
2248974447357155,314,243100,155,157700,1,400800
8324488332636253,338,252700,0,0,0,252700
6000366971001311,325,247500,0,0,0,247500
6581054612686119,338,252700,155,157700,1,410400
4551632091021458,321,245900,146,154100,1,400000
734839894106457,329,249100,0,0,0,249100
5651146996156637,344,255100,156,158100,1,413200
6606663622468292,304,239100,0,0,0,239100
7091878916736232,311,241900,0,0,0,241900
5328796154806559,335,251500,0,0,0,251500
5993659224199866,307,240300,0,0,0,240300
4439244224811004,335,251500,0,0,0,251500
5019743922150700,299,237100,307,314200,2,551300
5948211650230527,334,251100,0,0,0,251100
540764591389620,342,254300,306,313800,2,568100
8162203626304643,345,255500,0,0,0,255500
4056735630375207,306,239900,144,153300,1,393200
7101297982102402,306,239900,0,0,0,239900
6121868148897278,335,251500,0,0,0,251500
1407188305897815,331,249900,146,154100,1,404000
6981987390637723,329,249100,0,0,0,249100
4283490157503446,303,238700,161,160100,1,398800
1587814530024455,336,251900,0,0,0,251900
5543756990749590,302,238300,307,314200,2,552500
4251622315804220,316,243900,303,312600,2,556500
7016667276483518,315,243500,0,0,0,243500
5078934076781430,317,244300,0,0,0,244300
6199852603213747,328,248700,145,153700,1,402400
1331044939035059,305,239500,0,0,0,239500
2348886990079193,337,252300,0,0,0,252300
3518881982837895,338,252700,0,0,0,252700
2985378452487601,351,257900,153,156900,1,414800
6393131140491741,312,242300,157,158500,1,400800
5143400269008988,338,252700,0,0,0,252700
2417952561372090,332,250300,0,0,0,250300
8000006275422715,329,249100,158,158900,1,408000
167076938251838,336,251900,0,0,0,251900
8276282306012017,312,242300,0,0,0,242300
5843600787716934,316,243900,0,0,0,243900
8735960016588206,338,252700,147,154500,1,407200
5820831261030770,332,250300,300,311400,2,561700
1313227837374031,342,254300,154,157300,1,411600
5567639294761860,315,243500,152,156500,1,400000
4751668303097216,342,254300,141,152100,1,406400
2891500309249065,336,251900,0,0,0,251900
4912466763804338,342,254300,0,0,0,254300
150139096351165,333,250700,0,0,0,250700
6576715391449805,343,254700,306,313800,2,568500
8448660143441410,301,237900,152,156500,1,394400
1902498059892591,305,239500,0,0,0,239500
2350071210185408,339,253100,140,151700,1,404800
1452953545916681,303,238700,0,0,0,238700
7708221010894714,315,243500,0,0,0,243500
2148262218967545,302,238300,0,0,0,238300
4449862395177613,338,252700,152,156500,1,409200
8629437706210624,314,243100,157,158500,1,401600
4985632494634652,302,238300,300,311400,2,549700
7919676809437892,331,249900,150,155700,1,405600
6323262646566798,347,256300,0,0,0,256300
2635915250427386,305,239500,0,0,0,239500
686972132467400,335,251500,0,0,0,251500
6957109638339451,339,253100,0,0,0,253100
2199632112763873,339,253100,0,0,0,253100
2834273085841146,313,242700,0,0,0,242700
8878994390077717,314,243100,143,152900,1,396000
5128942198118688,345,255500,0,0,0,255500
5641261652025571,310,241500,0,0,0,241500
5679728043266318,336,251900,147,154500,1,406400
1336231439969461,308,240700,0,0,0,240700
320767307700120,314,243100,0,0,0,243100
7550104399139601,333,250700,153,156900,1,407600
4081655198341509,337,252300,0,0,0,252300
4726899055908787,336,251900,0,0,0,251900
7688639852582735,332,250300,0,0,0,250300
291932935442702,334,251100,157,158500,1,409600
5154007759138966,330,249500,0,0,0,249500
1589723900694791,334,251100,0,0,0,251100
5082766842784894,337,252300,157,158500,1,410800
2401868597577734,304,239100,149,155300,1,394400
6665384047559600,320,245500,180,167700,1,413200
8858724287948422,312,242300,0,0,0,242300
7491645677123106,334,251100,145,153700,1,404800
976971784736331,323,246700,0,0,0,246700
421314918843261,313,242700,0,0,0,242700
2301576599095450,301,237900,0,0,0,237900
87483162760160,311,241900,0,0,0,241900
8017163871561282,320,245500,148,154900,1,400400
8489140720409899,350,257500,153,156900,1,414400
3794681455579623,351,257900,146,154100,1,412000
7300541327783443,315,243500,0,0,0,243500
4734355460342969,310,241500,0,0,0,241500
3318924997190836,299,237100,147,154500,1,391600
8457443302612710,309,241100,0,0,0,241100
6456229244142266,340,253500,0,0,0,253500
3485163810683880,343,254700,0,0,0,254700
1037983477678539,335,251500,147,154500,1,406000
1667160869662917,337,252300,147,154500,1,406800
411178383698837,335,251500,0,0,0,251500
6153019779262388,296,235900,0,0,0,235900
8203080567574253,307,240300,155,157700,1,398000
3862266564616232,332,250300,305,313400,2,563700
619839442687851,304,239100,142,152500,1,391600
7250706075802123,315,243500,303,312600,2,556100
6275898274905836,310,241500,0,0,0,241500
3719045018185736,311,241900,145,153700,1,395600
6357955667523096,337,252300,143,152900,1,405200
8780684525013731,308,240700,151,156100,1,396800
6891470218648852,318,244700,365,337400,2,582100
2417232876355933,349,257100,0,0,0,257100
3619694898879417,303,238700,146,154100,1,392800
6299865304360841,304,239100,0,0,0,239100
1176985391605837,315,243500,0,0,0,243500
5356637117952499,337,252300,147,154500,1,406800
3290067321381764,332,250300,0,0,0,250300
720229523423896,303,238700,0,0,0,238700
5797698832172183,311,241900,0,0,0,241900
8438921596158389,327,248300,0,0,0,248300
